name,price,new_name,First_Name,Last_Name,New_Price,above_100
William Dixon,109.03727963458523,William Dixon,William,Dixon,109.04,True
Kristen Horn,262.52465219225206,Kristen Horn,Kristen,Horn,262.52,True
Kimberly Chang,187.00725827774068,Kimberly Chang,Kimberly,Chang,187.01,True
Mary Ball,283.17464763656955,Mary Ball,Mary,Ball,283.17,True
Benjamin Craig,143.8715816881791,Benjamin Craig,Benjamin,Craig,143.87,True
Cathy Werner,61.508991352851325,Cathy Werner,Cathy,Werner,61.51,
Brandon Bell,48.63730910375835,Brandon Bell,Brandon,Bell,48.64,
Paul Farley,12.389464788592939,Paul Farley,Paul,Farley,12.39,
Sarah Mcdaniel,151.59544716874203,Sarah Mcdaniel,Sarah,Mcdaniel,151.6,True
Caroline Anderson,75.62152102993683,Caroline Anderson,Caroline,Anderson,75.62,
Carl Jones,147.02940469082753,Carl Jones,Carl,Jones,147.03,True
Scott Lee,244.18565270607758,Scott Lee,Scott,Lee,244.19,True
Kaylee Coleman,17.864270321996845,Kaylee Coleman,Kaylee,Coleman,17.86,
Charles Parker,215.53728302426862,Charles Parker,Charles,Parker,215.54,True
Susan Hess,38.359970628717974,Susan Hess,Susan,Hess,38.36,
Kiara Collier,204.18254858412087,Kiara Collier,Kiara,Collier,204.18,True
Mr. Scott Martinez,165.8514289408149,Scott Martinez,Scott,Martinez,165.85,True
Christopher Ortega,30.301445064472407,Christopher Ortega,Christopher,Ortega,30.3,
Michael Russell,243.17249105103508,Michael Russell,Michael,Russell,243.17,True
Dwayne Johnson,287.4932856123935,Dwayne Johnson,Dwayne,Johnson,287.49,True
Patty Smith,180.23442574473592,Patty Smith,Patty,Smith,180.23,True
Deanna Sherman,99.79911841562617,Deanna Sherman,Deanna,Sherman,99.8,
Douglas Francis,161.76889080563518,Douglas Francis,Douglas,Francis,161.77,True
Vicki Diaz,18.649876721417435,Vicki Diaz,Vicki,Diaz,18.65,
Robin Phillips,244.91198356198336,Robin Phillips,Robin,Phillips,244.91,True
Travis Rice,141.4988254107795,Travis Rice,Travis,Rice,141.5,True
